Date,Open
7/18/2014,93620003
7/21/2014,94989998
7/22/2014,9468
7/23/2014,95419998
7/24/2014,97040001
7/25/2014,96849998
7/28/2014,9782
7/29/2014,99330002
7/30/2014,98440002
7/31/2014,97160004
08/01/2014,94900002
08/04/2014,96370003
08/05/2014,95360001
08/06/2014,9475
08/07/2014,9493
08/08/2014,94260002
08/11/2014,95269997
08/12/2014,96040001
8/13/2014,96150002
8/14/2014,97330002
8/15/2014,97900002
8/18/2014,98489998
8/19/2014,99410004
8/20/2014,100440002
8/21/2014,10057
8/22/2014,100290001
8/25/2014,101790001
8/26/2014,101419998
8/27/2014,101019997
8/28/2014,101589996
8/29/2014,102860001
09/02/2014,103059998
09/03/2014,103099998
09/04/2014,98849998
09/05/2014,98800003
09/08/2014,99300003
09/09/2014,99080002
09/10/2014,98010002
09/11/2014,100410004
09/12/2014,101209999
9/15/2014,102809998
9/16/2014,99800003
9/17/2014,101269997
9/18/2014,10193
9/19/2014,102290001
9/22/2014,101800003
9/23/2014,100599998
9/24/2014,102160004
9/25/2014,100510002
9/26/2014,98529999
9/29/2014,98650002
9/30/2014,100809998
10/01/2014,100589996
10/02/2014,99269997
10/03/2014,99440002
10/06/2014,99949997
10/07/2014,9943
10/08/2014,98760002
10/09/2014,101540001
10/10/2014,100690002
10/13/2014,101330002
10/14/2014,100389999
10/15/2014,97970001
10/16/2014,95550003
10/17/2014,975
10/20/2014,9832
10/21/2014,103019997
10/22/2014,102839996
10/23/2014,104080002
10/24/2014,10518
10/27/2014,104849998
10/28/2014,105400002
10/29/2014,106650002
10/30/2014,106959999
10/31/2014,108010002
11/03/2014,108220001
11/04/2014,109360001
11/05/2014,109099998
11/06/2014,108599998
11/07/2014,10875
11/10/2014,109019997
11/11/2014,108699997
11/12/2014,109379997
11/13/2014,111800003
11/14/2014,113150002
11/17/2014,114269997
11/18/2014,113940002
11/19/2014,115440002
11/20/2014,114910004
11/21/2014,117510002
11/24/2014,116849998
11/25/2014,11907
11/26/2014,117940002
11/28/2014,119269997
12/01/2014,118809998
12/02/2014,1135
12/03/2014,11575
12/04/2014,115769997
12/05/2014,115989998
12/08/2014,114099998
12/09/2014,110190002
12/10/2014,114410004
12/11/2014,112260002
12/12/2014,110459999
12/15/2014,110699997
12/16/2014,106370003
12/17/2014,107120003
12/18/2014,111870003
12/19/2014,112260002
12/22/2014,112160004
12/23/2014,113230003
12/24/2014,112580002
12/26/2014,112099998
12/29/2014,113790001
12/30/2014,113639999
12/31/2014,11282
01/02/2015,111389999
01/05/2015,108290001
01/06/2015,106540001
01/07/2015,107199997
01/08/2015,109230003
01/09/2015,112669998
01/12/2015,112599998
1/13/2015,11143
1/14/2015,109040001
1/15/2015,110
1/16/2015,107029999
1/20/2015,107839996
1/21/2015,108949997
1/22/2015,110260002
1/23/2015,112300003
1/26/2015,113739998
1/27/2015,112419998
1/28/2015,117629997
1/29/2015,11632
1/30/2015,118400002
02/02/2015,118050003
02/03/2015,1185
02/04/2015,1185
02/05/2015,120019997
02/06/2015,120019997
02/09/2015,118550003
02/10/2015,120169998
02/11/2015,122769997
02/12/2015,126059998
2/13/2015,127279999
2/17/2015,127489998
2/18/2015,127629997
2/19/2015,128479996
2/20/2015,128619995
2/23/2015,130020004
2/24/2015,132940002
2/25/2015,131559998
2/26/2015,128789993
2/27/2015,130
03/02/2015,12925
03/03/2015,128960007
03/04/2015,129100006
03/05/2015,128580002
03/06/2015,128399994
03/09/2015,127959999
03/10/2015,126410004
03/11/2015,12475
03/12/2015,122309998
3/13/2015,124400002
3/16/2015,123879997
3/17/2015,125900002
3/18/2015,127
3/19/2015,12875
3/20/2015,12825
3/23/2015,127120003
3/24/2015,127230003
3/25/2015,126540001
3/26/2015,122760002
3/27/2015,12457
3/30/2015,124050003
3/31/2015,126089996
04/01/2015,12482
04/02/2015,125029999
04/06/2015,124470001
04/07/2015,127639999
04/08/2015,125849998
04/09/2015,125849998
04/10/2015,125949997
4/13/2015,128369995
4/14/2015,127
4/15/2015,126410004
4/16/2015,126279999
4/17/2015,125550003
4/20/2015,12557
4/21/2015,128100006
4/22/2015,126989998
4/23/2015,128300003
4/24/2015,130490005
4/27/2015,132309998
4/28/2015,134460007
4/29/2015,130160004
4/30/2015,128639999
05/01/2015,126099998
05/04/2015,1295
05/05/2015,128149994
05/06/2015,126559998
05/07/2015,124769997
05/08/2015,12668
05/11/2015,127389999
05/12/2015,125599998
5/13/2015,126150002
5/14/2015,127410004
5/15/2015,129070007
5/18/2015,128380005
5/19/2015,130690002
5/20/2015,130
5/21/2015,130070007
5/22/2015,131600006
5/26/2015,132600006
5/27/2015,130339996
5/28/2015,131860001
5/29/2015,131229996
06/01/2015,130279999
06/02/2015,129860001
06/03/2015,130660004
06/04/2015,129580002
06/05/2015,1295
06/08/2015,128899994
06/09/2015,126699997
06/10/2015,127919998
06/11/2015,129179993
06/12/2015,128190002
6/15/2015,126099998
6/16/2015,127029999
6/17/2015,127720001
6/18/2015,127230003
6/19/2015,127709999
6/22/2015,127489998
6/23/2015,127480003
6/24/2015,127209999
6/25/2015,128860001
6/26/2015,127669998
6/29/2015,125459999
6/30/2015,12557
07/01/2015,126900002
07/02/2015,12643
07/06/2015,124940002
07/07/2015,125889999
07/08/2015,124480003
07/09/2015,123849998
07/10/2015,121940002
7/13/2015,125029999
7/14/2015,126040001
7/15/2015,125720001
7/16/2015,127739998
7/17/2015,129080002
7/20/2015,130970001
7/21/2015,132850006
7/22/2015,121989998
7/23/2015,126199997
7/24/2015,12532
7/27/2015,123089996
7/28/2015,123379997
7/29/2015,123150002
7/30/2015,12232
7/31/2015,122599998
08/03/2015,1215
08/04/2015,117419998
08/05/2015,112949997
08/06/2015,115970001
08/07/2015,114580002
08/10/2015,116529999
08/11/2015,117809998
08/12/2015,112529999
8/13/2015,116040001
8/14/2015,11432
8/17/2015,116040001
8/18/2015,11643
8/19/2015,116099998
8/20/2015,114080002
8/21/2015,11043
8/24/2015,94870003
8/25/2015,111110001
8/26/2015,107089996
8/27/2015,112230003
8/28/2015,112169998
8/31/2015,112029999
09/01/2015,110150002
09/02/2015,110230003
09/03/2015,112489998
09/04/2015,108970001
09/08/2015,11175
09/09/2015,113760002
09/10/2015,110269997
09/11/2015,111790001
9/14/2015,116580002
9/15/2015,11593
9/16/2015,11625
9/17/2015,115660004
9/18/2015,112209999
9/21/2015,113669998
9/22/2015,113379997
9/23/2015,113629997
9/24/2015,11325
9/25/2015,116440002
9/28/2015,113849998
9/29/2015,112830002
9/30/2015,110169998
10/01/2015,10907
10/02/2015,108010002
10/05/2015,109879997
10/06/2015,110629997
10/07/2015,111739998
10/08/2015,110190002
10/09/2015,110
10/12/2015,112730003
10/13/2015,11082
10/14/2015,111290001
10/15/2015,11093
10/16/2015,111779999
10/19/2015,110800003
10/20/2015,111339996
10/21/2015,114
10/22/2015,114330002
10/23/2015,116699997
10/26/2015,118080002
10/27/2015,115400002
10/28/2015,11693
10/29/2015,118699997
10/30/2015,120989998
11/02/2015,120800003
11/03/2015,120790001
11/04/2015,123129997
11/05/2015,121849998
11/06/2015,121110001
11/09/2015,120959999
11/10/2015,116900002
11/11/2015,116370003
11/12/2015,116260002
11/13/2015,115199997
11/16/2015,111379997
11/17/2015,114919998
11/18/2015,115760002
11/19/2015,117639999
11/20/2015,119199997
11/23/2015,119269997
11/24/2015,117330002
11/25/2015,119209999
11/27/2015,118290001
11/30/2015,117989998
12/01/2015,11875
12/02/2015,117339996
12/03/2015,116550003
12/04/2015,115290001
12/07/2015,118980003
12/08/2015,117519997
12/09/2015,117639999
12/10/2015,116040001
12/11/2015,115190002
12/14/2015,11218
12/15/2015,111940002
12/16/2015,11107
12/17/2015,112019997
12/18/2015,108910004
12/21/2015,107279999
12/22/2015,107400002
12/23/2015,107269997
12/24/2015,109
12/28/2015,107589996
12/29/2015,106959999
12/30/2015,108580002
12/31/2015,107010002
01/04/2016,102610001
01/05/2016,10575
01/06/2016,100559998
01/07/2016,9868
01/08/2016,98550003
01/11/2016,98970001
01/12/2016,100550003
1/13/2016,10032
1/14/2016,97959999
1/15/2016,96199997
1/19/2016,98410004
1/20/2016,95099998
1/21/2016,97059998
1/22/2016,98629997
1/25/2016,101519997
1/26/2016,9993
1/27/2016,96040001
1/28/2016,93790001
1/29/2016,94790001
02/01/2016,96470001
02/02/2016,95419998
02/03/2016,95
02/04/2016,95860001
02/05/2016,96519997
02/08/2016,93129997
02/09/2016,94290001
02/10/2016,95919998
02/11/2016,93790001
02/12/2016,94190002
2/16/2016,95019997
2/17/2016,96669998
2/18/2016,98839996
2/19/2016,96
2/22/2016,96309998
2/23/2016,96400002
2/24/2016,93980003
2/25/2016,96050003
2/26/2016,97199997
2/29/2016,96860001
03/01/2016,97650002
03/02/2016,100510002
03/03/2016,100580002
03/04/2016,102370003
03/07/2016,102389999
03/08/2016,100779999
03/09/2016,101309998
03/10/2016,101410004
03/11/2016,102239998
3/14/2016,101910004
3/15/2016,103959999
3/16/2016,104610001
3/17/2016,105519997
3/18/2016,106339996
3/21/2016,10593
3/22/2016,10525
3/23/2016,106480003
3/24/2016,105470001
3/28/2016,106
3/29/2016,104889999
3/30/2016,108650002
3/31/2016,109720001
04/01/2016,108779999
04/04/2016,110419998
04/05/2016,109510002
04/06/2016,110230003
04/07/2016,109949997
04/08/2016,108910004
04/11/2016,108970001
04/12/2016,109339996
4/13/2016,110800003
4/14/2016,111620003
4/15/2016,112110001
4/18/2016,108889999
4/19/2016,107879997
4/20/2016,106639999
4/21/2016,10693
4/22/2016,105010002
4/25/2016,105
4/26/2016,103910004
4/27/2016,96
4/28/2016,97610001
4/29/2016,93989998
05/02/2016,93970001
05/03/2016,94199997
05/04/2016,95199997
05/05/2016,94
05/06/2016,93370003
05/09/2016,93
05/10/2016,93330002
05/11/2016,93480003
05/12/2016,92720001
5/13/2016,90
5/16/2016,92389999
5/17/2016,94550003
5/18/2016,94160004
5/19/2016,94639999
5/20/2016,94639999
5/23/2016,95870003
5/24/2016,97220001
5/25/2016,98669998
5/26/2016,9968
5/27/2016,99440002
5/31/2016,99599998
06/01/2016,99019997
06/02/2016,97599998
06/03/2016,97790001
06/06/2016,97989998
06/07/2016,9925
06/08/2016,99019997
06/09/2016,985
06/10/2016,98529999
6/13/2016,98690002
6/14/2016,9732
6/15/2016,9782
6/16/2016,96449997
6/17/2016,96620003
6/20/2016,96
6/21/2016,94940002
6/22/2016,9625
6/23/2016,95940002
6/24/2016,92910004
6/27/2016,93
6/28/2016,92900002
6/29/2016,93970001
6/30/2016,94440002
07/01/2016,95489998
07/05/2016,95389999
07/06/2016,94599998
07/07/2016,95699997
07/08/2016,96489998
07/11/2016,9675
07/12/2016,97169998
7/13/2016,97410004
7/14/2016,97389999
7/15/2016,98919998
7/18/2016,98699997
7/19/2016,99559998
7/20/2016,100
7/21/2016,99830002
7/22/2016,99260002
7/25/2016,9825
7/26/2016,9682
7/27/2016,104269997
7/28/2016,102830002
7/29/2016,104190002
08/01/2016,104410004
08/02/2016,106050003
08/03/2016,104809998
08/04/2016,105580002
08/05/2016,106269997
08/08/2016,107519997
08/09/2016,108230003
08/10/2016,108709999
08/11/2016,108519997
08/12/2016,107779999
8/15/2016,108139999
8/16/2016,109629997
8/17/2016,109099998
8/18/2016,109230003
8/19/2016,108769997
8/22/2016,108860001
8/23/2016,108589996
8/24/2016,10857
8/25/2016,107389999
8/26/2016,107410004
8/29/2016,106620003
8/30/2016,105800003
8/31/2016,105660004
09/01/2016,106139999
09/02/2016,107699997
09/06/2016,107900002
09/07/2016,107830002
09/08/2016,10725
09/09/2016,104639999
09/12/2016,102650002
9/13/2016,107510002
9/14/2016,108730003
9/15/2016,113860001
9/16/2016,115120003
9/19/2016,115190002
9/20/2016,113050003
9/21/2016,113849998
9/22/2016,114349998
9/23/2016,114419998
9/26/2016,111639999
9/27/2016,113
9/28/2016,113690002
9/29/2016,113160004
9/30/2016,112459999
10/03/2016,112709999
10/04/2016,113059998
10/05/2016,113400002
10/06/2016,113699997
10/07/2016,114309998
10/10/2016,115019997
10/11/2016,117699997
10/12/2016,117349998
10/13/2016,116790001
10/14/2016,117879997
10/17/2016,117330002
10/18/2016,11818
10/19/2016,11725
10/20/2016,116860001
10/21/2016,116809998
10/24/2016,117099998
10/25/2016,117949997
10/26/2016,114309998
10/27/2016,115389999
10/28/2016,113870003
10/31/2016,113650002
11/01/2016,113459999
11/02/2016,111400002
11/03/2016,110980003
11/04/2016,108529999
11/07/2016,110080002
11/08/2016,110309998
11/09/2016,109879997
11/10/2016,111089996
11/11/2016,107120003
11/14/2016,107709999
11/15/2016,10657
11/16/2016,106699997
11/17/2016,109809998
11/18/2016,109720001
11/21/2016,110120003
